book_id,book_name,author,genre,price,quantity,publisher,published_year
128,Book Title 128,Author 104,Fiction,617.19,106,Publisher 11,2018
129,Book Title 129,Author 222,Fantasy,208.25,35,Publisher 64,2024
130,Book Title 130,Author 49,History,1215.54,42,Publisher 25,2011
131,Book Title 131,Author 315,History,589.62,190,Publisher 93,2018
132,Book Title 132,Author 164,Sci-Fi,1133.79,75,Publisher 8,2011
133,Book Title 133,Author 100,Romance,907.51,128,Publisher 85,2009
134,Book Title 134,Author 201,Fiction,552.28,4,Publisher 140,2000
135,Book Title 135,Author 397,Mystery,712.91,12,Publisher 168,1984
136,Book Title 136,Author 171,Fiction,201.23,31,Publisher 61,1995
137,Book Title 137,Author 58,History,943.05,0,Publisher 47,2024
138,Book Title 138,Author 204,Sci-Fi,1305.63,64,Publisher 24,1986
139,Book Title 139,Author 359,Fantasy,1191.63,65,Publisher 76,2015
140,Book Title 140,Author 306,Mystery,1350.36,0,Publisher 177,2000
141,Book Title 141,Author 240,Romance,101.5,192,Publisher 68,1981
142,Book Title 142,Author 366,Fantasy,999.81,191,Publisher 90,1999
143,Book Title 143,Author 88,Business,871.9,45,Publisher 75,2004
144,Book Title 144,Author 490,Mystery,597.74,120,Publisher 83,1983
145,Book Title 145,Author 180,Fantasy,418.34,39,Publisher 128,1991
146,Book Title 146,Author 305,Business,769.99,193,Publisher 141,1991
147,Book Title 147,Author 344,History,524.08,108,Publisher 171,2018
148,Book Title 148,Author 38,Business,414.44,164,Publisher 119,2006
149,Book Title 149,Author 10,Business,265.75,164,Publisher 84,2024
150,Book Title 150,Author 365,Business,470.28,165,Publisher 107,2006
151,Book Title 151,Author 122,Sci-Fi,534.72,173,Publisher 137,1996
152,Book Title 152,Author 426,History,263.33,58,Publisher 51,1984
153,Book Title 153,Author 420,Fantasy,211.76,84,Publisher 114,1982
154,Book Title 154,Author 272,Fiction,1319.21,29,Publisher 88,2014
155,Book Title 155,Author 207,Fiction,1458.65,28,Publisher 182,2003
156,Book Title 156,Author 374,Business,326.08,105,Publisher 47,1983
157,Book Title 157,Author 488,History,695.03,161,Publisher 177,1989
158,Book Title 158,Author 312,History,972.81,110,Publisher 43,1980
159,Book Title 159,Author 119,History,1361.51,33,Publisher 191,2024
160,Book Title 160,Author 101,Mystery,847.5,128,Publisher 107,2010
161,Book Title 161,Author 133,Mystery,1390.57,25,Publisher 8,2008
162,Book Title 162,Author 432,Mystery,967.46,176,Publisher 62,2020
163,Book Title 163,Author 139,History,507.86,50,Publisher 106,2007
164,Book Title 164,Author 53,Fiction,1339.02,53,Publisher 30,1989
165,Book Title 165,Author 68,History,1375.5,90,Publisher 195,2018
166,Book Title 166,Author 442,Fantasy,1409.31,181,Publisher 30,2006
167,Book Title 167,Author 166,Business,469.25,79,Publisher 74,2015
168,Book Title 168,Author 134,Sci-Fi,154.65,93,Publisher 76,1986
169,Book Title 169,Author 310,Sci-Fi,334.46,146,Publisher 189,2007
170,Book Title 170,Author 219,Romance,202.13,80,Publisher 161,2000
171,Book Title 171,Author 440,Fantasy,1022.95,79,Publisher 195,2008
172,Book Title 172,Author 160,Fiction,1383.12,25,Publisher 157,2010
173,Book Title 173,Author 239,Romance,1483.65,141,Publisher 199,2023
174,Book Title 174,Author 296,Business,434.73,96,Publisher 45,2004
175,Book Title 175,Author 424,Fantasy,645.73,111,Publisher 194,2014
176,Book Title 176,Author 495,History,983.06,113,Publisher 88,1986
177,Book Title 177,Author 174,Fiction,109.17,144,Publisher 119,1992
178,Book Title 178,Author 46,Fantasy,455.17,14,Publisher 177,1993
179,Book Title 179,Author 53,Sci-Fi,927.02,46,Publisher 197,1996
180,Book Title 180,Author 123,Fantasy,588.07,100,Publisher 196,2019
181,Book Title 181,Author 324,History,1072.33,89,Publisher 112,2007
182,Book Title 182,Author 48,Fantasy,1276.86,165,Publisher 172,1980
183,Book Title 183,Author 56,History,1138.89,162,Publisher 130,1984
184,Book Title 184,Author 334,Mystery,988.99,3,Publisher 43,2007
185,Book Title 185,Author 154,Fiction,763.98,119,Publisher 54,1981
186,Book Title 186,Author 494,Sci-Fi,1498.81,74,Publisher 73,2010
187,Book Title 187,Author 469,Mystery,758.87,21,Publisher 190,1996
188,Book Title 188,Author 468,Fantasy,598.79,6,Publisher 192,1985
189,Book Title 189,Author 313,Fiction,413.98,191,Publisher 75,2000
190,Book Title 190,Author 269,Mystery,461.91,112,Publisher 55,2014
191,Book Title 191,Author 146,Fantasy,1423.77,47,Publisher 89,1991
192,Book Title 192,Author 225,Business,258.76,2,Publisher 80,2010
193,Book Title 193,Author 77,Romance,468.78,49,Publisher 110,1983
194,Book Title 194,Author 6,Business,1319.23,64,Publisher 113,2002
195,Book Title 195,Author 210,Mystery,966.11,107,Publisher 57,1980
196,Book Title 196,Author 110,Sci-Fi,946.14,146,Publisher 121,1998
197,Book Title 197,Author 160,Fiction,705.96,1,Publisher 88,1991
198,Book Title 198,Author 118,Romance,736.33,41,Publisher 112,2002
199,Book Title 199,Author 139,Fantasy,1470.91,68,Publisher 150,2011
200,Book Title 200,Author 477,History,602.05,40,Publisher 186,1983
201,Book Title 201,Author 342,Sci-Fi,1256.0,196,Publisher 116,2008
202,Book Title 202,Author 166,Fantasy,719.76,149,Publisher 67,1992
203,Book Title 203,Author 20,Sci-Fi,371.4,90,Publisher 164,2013
204,Book Title 204,Author 29,Business,357.12,134,Publisher 164,2015
205,Book Title 205,Author 492,History,950.52,94,Publisher 2,1992
206,Book Title 206,Author 132,Sci-Fi,1431.23,47,Publisher 103,2010
207,Book Title 207,Author 362,History,1499.64,161,Publisher 60,1981
208,Book Title 208,Author 192,Romance,1460.27,23,Publisher 187,1986
209,Book Title 209,Author 197,Business,1058.22,118,Publisher 51,1983
210,Book Title 210,Author 24,Romance,275.64,180,Publisher 115,2002
211,Book Title 211,Author 3,Mystery,1317.14,197,Publisher 57,2017
212,Book Title 212,Author 73,Mystery,1160.52,126,Publisher 18,1980
213,Book Title 213,Author 252,Romance,1308.86,129,Publisher 113,2018
214,Book Title 214,Author 92,Fantasy,810.08,105,Publisher 103,1981
215,Book Title 215,Author 342,Romance,937.85,162,Publisher 109,2023
216,Book Title 216,Author 314,Romance,297.1,145,Publisher 162,2014
217,Book Title 217,Author 44,History,1466.52,8,Publisher 183,1991
218,Book Title 218,Author 274,Sci-Fi,272.1,163,Publisher 94,1981
219,Book Title 219,Author 253,Romance,231.23,148,Publisher 36,2010
220,Book Title 220,Author 73,Fiction,364.26,113,Publisher 74,2017
221,Book Title 221,Author 293,Business,653.73,105,Publisher 52,2020
222,Book Title 222,Author 266,Business,968.28,80,Publisher 90,1982
223,Book Title 223,Author 156,History,855.39,186,Publisher 55,2008
224,Book Title 224,Author 172,Romance,1286.03,179,Publisher 44,1995
225,Book Title 225,Author 48,Sci-Fi,748.3,91,Publisher 179,2022
226,Book Title 226,Author 282,Fantasy,609.52,3,Publisher 21,1999
227,Book Title 227,Author 316,Romance,697.87,167,Publisher 153,2014
228,Book Title 228,Author 21,Romance,957.43,184,Publisher 127,2011
229,Book Title 229,Author 86,Business,340.12,26,Publisher 16,2018
230,Book Title 230,Author 341,Fiction,975.62,54,Publisher 72,1992
231,Book Title 231,Author 20,Fiction,678.62,145,Publisher 5,2012
232,Book Title 232,Author 157,History,705.58,162,Publisher 181,1983
233,Book Title 233,Author 457,Fiction,730.55,114,Publisher 119,2018
234,Book Title 234,Author 488,Fiction,1246.36,68,Publisher 182,2006
235,Book Title 235,Author 399,History,168.06,3,Publisher 93,1991
236,Book Title 236,Author 98,Fantasy,826.74,136,Publisher 87,1981
237,Book Title 237,Author 301,Mystery,1135.57,113,Publisher 122,2018
238,Book Title 238,Author 12,History,1075.59,133,Publisher 135,1987
239,Book Title 239,Author 424,Fiction,1324.81,44,Publisher 158,2023
240,Book Title 240,Author 310,Sci-Fi,371.94,138,Publisher 195,2008
241,Book Title 241,Author 149,Romance,1252.43,15,Publisher 167,1981
242,Book Title 242,Author 143,History,147.6,40,Publisher 189,2018
243,Book Title 243,Author 56,History,1017.53,194,Publisher 2,2019
244,Book Title 244,Author 171,Fantasy,1261.01,36,Publisher 93,1990
245,Book Title 245,Author 487,History,1387.41,41,Publisher 189,1998
246,Book Title 246,Author 467,Business,716.76,81,Publisher 14,2002
247,Book Title 247,Author 378,Fiction,274.57,199,Publisher 65,2001
248,Book Title 248,Author 478,Fiction,1140.59,41,Publisher 172,2005
249,Book Title 249,Author 392,Sci-Fi,336.34,188,Publisher 59,1985
250,Book Title 250,Author 264,Business,518.12,56,Publisher 54,2019
251,Book Title 251,Author 398,Business,1472.71,196,Publisher 192,1986
252,Book Title 252,Author 379,Fiction,118.68,56,Publisher 84,2003
253,Book Title 253,Author 290,Romance,359.84,16,Publisher 183,1985
254,Book Title 254,Author 88,Mystery,1498.16,28,Publisher 60,1994
255,Book Title 255,Author 83,Mystery,1476.9,73,Publisher 199,2018
256,Book Title 256,Author 423,History,272.79,151,Publisher 50,2002
257,Book Title 257,Author 16,Fantasy,1209.76,139,Publisher 185,2010
258,Book Title 258,Author 38,Sci-Fi,523.72,117,Publisher 133,2016
259,Book Title 259,Author 264,Romance,739.71,186,Publisher 40,1982
260,Book Title 260,Author 405,Romance,849.57,102,Publisher 78,1997
261,Book Title 261,Author 162,Business,306.7,131,Publisher 96,2024
262,Book Title 262,Author 420,Mystery,1412.8,150,Publisher 157,2014
263,Book Title 263,Author 310,Fiction,314.24,177,Publisher 79,1993
264,Book Title 264,Author 135,Fantasy,612.13,180,Publisher 19,2015
265,Book Title 265,Author 233,Romance,592.71,138,Publisher 109,2002
266,Book Title 266,Author 148,Sci-Fi,1080.08,97,Publisher 114,2001
267,Book Title 267,Author 90,Romance,1073.09,187,Publisher 142,2018
268,Book Title 268,Author 203,Sci-Fi,1280.16,35,Publisher 53,2018
269,Book Title 269,Author 56,Fiction,160.09,146,Publisher 119,2010
270,Book Title 270,Author 480,Mystery,961.55,103,Publisher 59,1986
271,Book Title 271,Author 183,Fantasy,1153.97,115,Publisher 104,2015
272,Book Title 272,Author 107,Business,623.92,14,Publisher 154,2001
273,Book Title 273,Author 422,Business,484.73,119,Publisher 92,2004
274,Book Title 274,Author 439,Fiction,541.82,154,Publisher 69,1997
275,Book Title 275,Author 289,History,1016.68,57,Publisher 40,1997
276,Book Title 276,Author 358,Business,1300.44,50,Publisher 13,2022
277,Book Title 277,Author 120,Fiction,566.19,50,Publisher 135,1984
278,Book Title 278,Author 487,Business,257.83,125,Publisher 130,1994
279,Book Title 279,Author 97,Business,1239.88,134,Publisher 129,2004
280,Book Title 280,Author 324,Business,1487.77,10,Publisher 103,1980
281,Book Title 281,Author 329,Business,1033.68,91,Publisher 166,1999
282,Book Title 282,Author 433,Sci-Fi,1343.85,163,Publisher 164,2020
283,Book Title 283,Author 236,Sci-Fi,291.75,179,Publisher 101,2017
284,Book Title 284,Author 324,Mystery,243.26,124,Publisher 189,2021
285,Book Title 285,Author 79,Mystery,1073.04,14,Publisher 104,1990
286,Book Title 286,Author 357,Business,1286.71,133,Publisher 33,2000
287,Book Title 287,Author 411,History,1065.67,61,Publisher 155,2014
288,Book Title 288,Author 309,Fantasy,938.2,189,Publisher 126,2007
289,Book Title 289,Author 234,Fantasy,498.76,179,Publisher 193,1990
290,Book Title 290,Author 15,Fiction,427.61,38,Publisher 180,1984
291,Book Title 291,Author 405,Business,1439.08,168,Publisher 169,1998
292,Book Title 292,Author 185,Business,373.29,178,Publisher 107,1986
293,Book Title 293,Author 442,History,165.03,25,Publisher 133,1998
294,Book Title 294,Author 164,Romance,545.78,150,Publisher 35,1984
295,Book Title 295,Author 70,History,330.4,130,Publisher 154,2002
296,Book Title 296,Author 75,Business,726.1,49,Publisher 100,2024
297,Book Title 297,Author 197,Fantasy,586.59,66,Publisher 63,2020
298,Book Title 298,Author 6,Mystery,465.46,189,Publisher 133,2009
299,Book Title 299,Author 162,Sci-Fi,688.74,168,Publisher 35,2018
300,Book Title 300,Author 293,Mystery,1095.05,10,Publisher 196,2011
301,Book Title 301,Author 310,Fantasy,213.06,63,Publisher 48,2016
302,Book Title 302,Author 130,Fantasy,1171.11,35,Publisher 63,2022
303,Book Title 303,Author 474,Mystery,1273.55,40,Publisher 114,1993
304,Book Title 304,Author 165,Business,1108.17,14,Publisher 151,1996
305,Book Title 305,Author 473,Romance,1052.43,126,Publisher 143,1982
306,Book Title 306,Author 285,Mystery,979.91,114,Publisher 21,1996
307,Book Title 307,Author 198,Business,362.03,67,Publisher 100,2023
308,Book Title 308,Author 387,Fantasy,1181.46,112,Publisher 8,2016
309,Book Title 309,Author 430,History,842.67,20,Publisher 169,1990
310,Book Title 310,Author 67,History,179.03,185,Publisher 128,2016
311,Book Title 311,Author 197,Mystery,868.31,32,Publisher 196,2013
312,Book Title 312,Author 406,Mystery,289.3,83,Publisher 17,2000
313,Book Title 313,Author 105,Sci-Fi,628.55,78,Publisher 183,1999
314,Book Title 314,Author 374,Sci-Fi,1033.73,108,Publisher 65,2012
315,Book Title 315,Author 322,Business,260.18,124,Publisher 40,1985
316,Book Title 316,Author 123,History,978.39,151,Publisher 96,1990
317,Book Title 317,Author 185,Sci-Fi,961.3,147,Publisher 99,2011
318,Book Title 318,Author 453,Sci-Fi,583.19,126,Publisher 63,2011
319,Book Title 319,Author 284,History,480.01,166,Publisher 6,1985
320,Book Title 320,Author 175,Sci-Fi,1141.1,135,Publisher 169,2014
321,Book Title 321,Author 214,Fantasy,1149.29,42,Publisher 138,2019
322,Book Title 322,Author 481,Romance,1319.23,98,Publisher 157,2021
323,Book Title 323,Author 472,Sci-Fi,333.01,9,Publisher 86,2000
324,Book Title 324,Author 94,Sci-Fi,782.32,48,Publisher 173,1986
325,Book Title 325,Author 285,Sci-Fi,1499.31,6,Publisher 144,2016
326,Book Title 326,Author 418,Mystery,951.82,61,Publisher 16,1993
327,Book Title 327,Author 315,Mystery,1150.81,177,Publisher 174,1997
328,Book Title 328,Author 461,Romance,550.87,35,Publisher 64,1988
329,Book Title 329,Author 86,Sci-Fi,1306.78,83,Publisher 44,2018
330,Book Title 330,Author 141,Fiction,263.67,190,Publisher 118,2022
331,Book Title 331,Author 313,Fantasy,151.31,165,Publisher 93,1989
332,Book Title 332,Author 62,Mystery,1463.68,29,Publisher 6,2024
333,Book Title 333,Author 37,Mystery,1389.99,176,Publisher 82,1983
334,Book Title 334,Author 415,Business,723.0,134,Publisher 91,2013
335,Book Title 335,Author 76,Fiction,213.25,171,Publisher 187,2020
336,Book Title 336,Author 159,Romance,802.13,102,Publisher 196,1995
337,Book Title 337,Author 262,Fantasy,872.88,99,Publisher 172,2024
338,Book Title 338,Author 283,History,589.2,72,Publisher 112,1997
339,Book Title 339,Author 389,Mystery,1125.05,149,Publisher 138,2000
340,Book Title 340,Author 335,Sci-Fi,234.69,0,Publisher 88,2007
341,Book Title 341,Author 119,History,875.32,112,Publisher 105,2007
342,Book Title 342,Author 316,History,1366.46,200,Publisher 165,2004
343,Book Title 343,Author 201,Sci-Fi,688.89,146,Publisher 159,2022
344,Book Title 344,Author 467,Fantasy,404.72,102,Publisher 129,1996
345,Book Title 345,Author 404,Mystery,1451.03,92,Publisher 114,2015
346,Book Title 346,Author 280,Fiction,398.44,127,Publisher 80,2015
347,Book Title 347,Author 462,Romance,125.44,38,Publisher 52,1997
348,Book Title 348,Author 411,Business,238.63,76,Publisher 66,1984
349,Book Title 349,Author 269,History,413.37,93,Publisher 180,2005
350,Book Title 350,Author 481,Romance,841.04,153,Publisher 140,1986
351,Book Title 351,Author 349,History,464.96,125,Publisher 146,2010
352,Book Title 352,Author 267,Mystery,777.69,197,Publisher 66,1982
353,Book Title 353,Author 184,Sci-Fi,188.07,178,Publisher 190,2010
354,Book Title 354,Author 469,Business,167.41,171,Publisher 196,2008
355,Book Title 355,Author 280,Fantasy,1070.66,170,Publisher 122,1987
356,Book Title 356,Author 318,Sci-Fi,119.36,59,Publisher 173,2018
357,Book Title 357,Author 315,Sci-Fi,1024.35,135,Publisher 37,1988
358,Book Title 358,Author 432,History,1020.29,119,Publisher 112,1999
359,Book Title 359,Author 490,Romance,509.94,113,Publisher 37,1989
360,Book Title 360,Author 206,Sci-Fi,1496.52,61,Publisher 73,1984
361,Book Title 361,Author 137,Fiction,645.17,53,Publisher 131,1980
362,Book Title 362,Author 57,Romance,297.41,159,Publisher 165,2009
363,Book Title 363,Author 128,Business,967.24,47,Publisher 33,2015
364,Book Title 364,Author 262,Romance,495.95,54,Publisher 126,1988
365,Book Title 365,Author 500,Business,1089.18,76,Publisher 95,2011
366,Book Title 366,Author 290,Romance,1346.04,32,Publisher 151,2014
367,Book Title 367,Author 70,Fiction,1160.88,179,Publisher 196,1990
368,Book Title 368,Author 98,Fiction,734.53,182,Publisher 170,2021
369,Book Title 369,Author 97,Romance,1230.66,29,Publisher 171,2002
370,Book Title 370,Author 483,Sci-Fi,540.8,185,Publisher 2,2008
371,Book Title 371,Author 298,Sci-Fi,171.82,183,Publisher 90,2023
372,Book Title 372,Author 99,Fiction,789.98,171,Publisher 172,1996
373,Book Title 373,Author 13,Mystery,486.94,192,Publisher 47,1999
374,Book Title 374,Author 300,Fantasy,424.4,123,Publisher 156,1983
375,Book Title 375,Author 384,Mystery,987.04,58,Publisher 153,2017
376,Book Title 376,Author 140,Romance,538.64,3,Publisher 12,2018
377,Book Title 377,Author 86,Business,382.99,46,Publisher 20,1995
378,Book Title 378,Author 175,Mystery,1240.17,4,Publisher 4,2000
379,Book Title 379,Author 7,Fantasy,1387.53,97,Publisher 127,1999
380,Book Title 380,Author 243,Fiction,1240.43,124,Publisher 3,2012
381,Book Title 381,Author 83,Fiction,859.72,75,Publisher 69,1993
382,Book Title 382,Author 393,Sci-Fi,658.02,108,Publisher 172,2008
383,Book Title 383,Author 166,Fiction,1040.73,55,Publisher 88,2002
384,Book Title 384,Author 211,Fiction,1260.65,1,Publisher 163,1981
385,Book Title 385,Author 467,Business,1278.53,120,Publisher 51,2007
386,Book Title 386,Author 128,Fantasy,344.96,165,Publisher 36,2007
387,Book Title 387,Author 440,Fantasy,732.96,97,Publisher 12,2018
388,Book Title 388,Author 140,Romance,1442.6,12,Publisher 194,2019
389,Book Title 389,Author 51,Sci-Fi,1352.53,40,Publisher 193,2020
390,Book Title 390,Author 251,History,788.63,90,Publisher 66,1988
391,Book Title 391,Author 222,Romance,325.36,118,Publisher 158,1980
392,Book Title 392,Author 235,Sci-Fi,718.88,141,Publisher 177,1995
393,Book Title 393,Author 106,Fiction,473.52,0,Publisher 18,1993
394,Book Title 394,Author 220,Business,328.3,45,Publisher 162,1983
395,Book Title 395,Author 28,Business,402.28,25,Publisher 179,2017
396,Book Title 396,Author 354,Romance,752.41,30,Publisher 200,1999
397,Book Title 397,Author 40,Business,523.82,40,Publisher 13,1990
